"idugns";"nameUgns";"shareStud";"shareUgnsFromTotalStud";"shareFromTotalStud";"numberUniverImplEducation";"numberOfBranches"
17;"12.00.00 - Фотоника, приборостроение, оптические и биотехнические системы и технологии";"273";"5,90%";"6,30%";"9";"0"
17;"15.00.00 - Машиностроение";"1961";"42,70%";"18,80%";"20";"0"
17;"20.00.00 - Техносферная безопасность и природообустройство";"210";"4,60%";"6,00%";"21";"0"
17;"22.00.00 - Технологии материалов";"76";"1,70%";"2,70%";"11";"0"
17;"27.00.00 - Управление в технических системах";"321";"7,00%";"3,80%";"27";"0"
17;"38.00.00 - Экономика и управление";"250";"5,40%";"0,20%";"96";"1"
18;"01.00.00 - Математика и механика";"194";"1,80%";"1,20%";"29";"0"
18;"07.00.00 - Архитектура";"1458";"13,40%";"23,10%";"10";"1"
18;"08.00.00 - Техника и технологии строительства";"6956,8";"63,90%";"67,00%";"9";"0"
18;"09.00.00 - Информатика и вычислительная техника";"647";"6,00%";"1,70%";"48";"0"
18;"15.00.00 - Машиностроение";"137";"1,30%";"1,30%";"20";"0"
18;"20.00.00 - Техносферная безопасность и природообустройство";"139";"1,30%";"3,90%";"21";"0"
18;"23.00.00 - Техника и технологии наземного транспорта";"145";"1,30%";"1,30%";"12";"0"
18;"27.00.00 - Управление в технических системах";"210";"1,90%";"2,50%";"27";"0"
18;"38.00.00 - Экономика и управление";"995,3";"9,20%";"1,00%";"96";"1"
19;"05.00.00 - Науки о земле";"519";"5,00%";"9,20%";"16";"0"
19;"06.00.00 - Биологические науки";"362";"3,50%";"10,60%";"11";"0"
19;"08.00.00 - Техника и технологии строительства";"527";"5,10%";"5,10%";"9";"0"
19;"09.00.00 - Информатика и вычислительная техника";"425,7";"4,10%";"1,10%";"48";"0"
19;"13.00.00 - Электро- и теплоэнергетика";"227,5";"2,20%";"2,70%";"14";"0"
19;"15.00.00 - Машиностроение";"48";"0,50%";"0,50%";"20";"0"
19;"19.00.00 - Промышленная экология и биотехнологии";"401";"3,90%";"7,30%";"13";"1"
19;"20.00.00 - Техносферная безопасность и природообустройство";"954";"9,20%";"27,00%";"21";"0"
19;"21.00.00 - Прикладная геология, горное дело, нефтегазовое дело и геодезия";"81";"0,80%";"0,80%";"11";"0"
19;"23.00.00 - Техника и технологии наземного транспорта";"577";"5,60%";"5,10%";"12";"0"
19;"27.00.00 - Управление в технических системах";"76";"0,70%";"0,90%";"27";"0"
19;"35.00.00 - Сельское, лесное и рыбное хозяйство";"3771,6";"36,50%";"87,50%";"5";"0"
19;"36.00.00 - Ветеринария и зоотехния";"1200,1";"11,60%";"26,50%";"4";"0"
19;"38.00.00 - Экономика и управление";"835,4";"8,10%";"0,80%";"96";"1"
19;"42.00.00 - Средства массовой информации и информационно-библиотечное дело";"102";"1,00%";"0,40%";"47";"0"
19;"43.00.00 - Сервис и туризм";"11";"0,10%";"0,30%";"29";"0"
19;"44.00.00 - Образование и педагогические науки";"202,6";"2,00%";"0,90%";"32";"0"
20;"01.00.00 - Математика и механика";"126";"1,70%";"0,80%";"29";"0"
20;"09.00.00 - Информатика и вычислительная техника";"761";"10,00%";"2,00%";"48";"0"
20;"13.00.00 - Электро- и теплоэнергетика";"113,1";"1,50%";"1,30%";"14";"0"
20;"15.00.00 - Машиностроение";"275,4";"3,60%";"2,70%";"20";"0"
20;"18.00.00 - Химические технологии";"237";"3,10%";"3,10%";"11";"0"
20;"20.00.00 - Техносферная безопасность и природообустройство";"150";"2,00%";"4,30%";"21";"0"
20;"27.00.00 - Управление в технических системах";"171";"2,30%";"2,00%";"27";"0"
20;"29.00.00 - Технологии легкой промышленности";"1242,1";"16,30%";"55,70%";"7";"0"
20;"33.00.00 - Фармация";"5";"0,10%";"0,20%";"7";"1"
20;"37.00.00 - Психологические науки";"218,3";"2,90%";"1,70%";"44";"0"
20;"38.00.00 - Экономика и управление";"681,7";"9,00%";"0,70%";"96";"1"
20;"39.00.00 - Социология и социальная работа";"176";"2,30%";"3,10%";"29";"0"
20;"40.00.00 - Юриспруденция";"221,8";"2,90%";"0,50%";"68";"0"
20;"42.00.00 - Средства массовой информации и информационно-библиотечное дело";"793,3";"10,40%";"3,20%";"47";"0"
20;"43.00.00 - Сервис и туризм";"133,7";"1,80%";"3,10%";"29";"0"
20;"44.00.00 - Образование и педагогические науки";"40,2";"0,50%";"0,20%";"32";"0"
20;"45.00.00 - Языкознание и литературоведение";"320,5";"4,20%";"1,40%";"37";"0"
20;"50.00.00 - Искусствознание";"247";"3,30%";"10,10%";"13";"0"
20;"51.00.00 - Культуроведение и социокультурные проекты";"85,4";"1,10%";"6,50%";"13";"0"
20;"52.00.00 - Сценические искусства и литературное творчество";"70,3";"0,90%";"1,80%";"20";"0"
20;"53.00.00 - Музыкальное искусство";"349";"4,60%";"7,10%";"16";"0"
20;"54.00.00 - Изобразительное и прикладные виды искусств";"1188,7";"15,60%";"9,50%";"35";"1"
21;"04.00.00 - Химия";"667";"10,30%";"20,50%";"7";"0"
21;"05.00.00 - Науки о земле";"177";"2,70%";"3,10%";"16";"0"
21;"09.00.00 - Информатика и вычислительная техника";"321";"5,00%";"0,80%";"48";"0"
21;"15.00.00 - Машиностроение";"153";"2,40%";"1,50%";"20";"0"
21;"18.00.00 - Химические технологии";"3979";"61,50%";"52,70%";"11";"0"
21;"19.00.00 - Промышленная экология и биотехнологии";"372";"5,80%";"6,80%";"13";"1"
21;"20.00.00 - Техносферная безопасность и природообустройство";"140";"2,20%";"4,00%";"21";"0"
21;"22.00.00 - Технологии материалов";"120";"1,90%";"4,20%";"11";"0"
21;"27.00.00 - Управление в технических системах";"154";"2,40%";"1,80%";"27";"0"
21;"28.00.00 - Нанотехнологии и наноматериалы";"207";"3,20%";"17,70%";"9";"0"
21;"29.00.00 - Технологии легкой промышленности";"87";"1,30%";"3,90%";"7";"0"
21;"38.00.00 - Экономика и управление";"76,6";"1,20%";"0,10%";"96";"1"
21;"45.00.00 - Языкознание и литературоведение";"19,3";"0,30%";"0,10%";"37";"0"
22;"01.00.00 - Математика и механика";"960";"3,60%";"6,00%";"29";"0"
22;"02.00.00 - Компьютерные и информационные науки";"173";"0,70%";"7,70%";"12";"0"
22;"04.00.00 - Химия";"440";"1,70%";"13,50%";"7";"0"
22;"05.00.00 - Науки о земле";"74";"0,30%";"1,30%";"16";"0"
22;"09.00.00 - Информатика и вычислительная техника";"8 243,30";"31,30%";"21,50%";"48";"0"
22;"10.00.00 - Информационная безопасность";"3887";"14,70%";"34,20%";"19";"0"
22;"11.00.00 - Электроника, радиотехника и системы связи";"1724,3";"6,50%";"16,30%";"11";"0"
22;"12.00.00 - Фотоника, приборостроение, оптические и биотехнические системы и технологии";"1199";"4,60%";"27,50%";"9";"0"
22;"15.00.00 - Машиностроение";"896";"3,40%";"8,60%";"20";"0"
22;"18.00.00 - Химические технологии";"1996";"7,60%";"26,40%";"11";"0"
22;"19.00.00 - Промышленная экология и биотехнологии";"734";"2,80%";"13,40%";"13";"1"
22;"20.00.00 - Техносферная безопасность и природообустройство";"220";"0,80%";"6,20%";"21";"0"
22;"22.00.00 - Технологии материалов";"264";"1,00%";"9,30%";"11";"0"
22;"23.00.00 - Техника и технологии наземного транспорта";"0,6";"0,00%";"0,00%";"12";"0"
22;"27.00.00 - Управление в технических системах";"975,2";"3,70%";"11,60%";"27";"0"
22;"28.00.00 - Нанотехнологии и наноматериалы";"129";"0,50%";"11,00%";"9";"0"
22;"29.00.00 - Технологии легкой промышленности";"190";"0,70%";"8,50%";"7";"0"
22;"33.00.00 - Фармация";"16";"0,10%";"0,60%";"7";"1"
22;"38.00.00 - Экономика и управление";"2901,3";"11,00%";"2,80%";"96";"1"
22;"40.00.00 - Юриспруденция";"1059,1";"4,00%";"2,50%";"68";"0"
22;"46.00.00 - История и археология";"119,7";"0,50%";"3,20%";"16";"0"
22;"54.00.00 - Изобразительное и прикладные виды искусств";"173,1";"0,70%";"1,40%";"35";"1"
23;"01.00.00 - Математика и механика";"69";"2,40%";"0,40%";"29";"0"
23;"09.00.00 - Информатика и вычислительная техника";"135";"4,70%";"0,40%";"48";"0"
23;"10.00.00 - Информационная безопасность";"235";"8,20%";"2,10%";"19";"0"
23;"20.00.00 - Техносферная безопасность и природообустройство";"117";"4,10%";"3,30%";"21";"0"
23;"23.00.00 - Техника и технологии наземного транспорта";"348,3";"12,20%";"3,10%";"12";"0"
23;"25.00.00 - Аэронавигация и эксплуатация авиационной и ракетно-космической техники";"1948,4";"68,30%";"100,00%";"1";"0"
24;"01.00.00 - Математика и механика";"789";"3,50%";"4,90%";"29";"0"
24;"02.00.00 - Компьютерные и информационные науки";"348";"1,50%";"15,50%";"12";"0"
24;"09.00.00 - Информатика и вычислительная техника";"3646";"16,20%";"9,50%";"48";"0"
24;"10.00.00 - Информационная безопасность";"1240";"5,50%";"10,90%";"19";"0"
24;"11.00.00 - Электроника, радиотехника и системы связи";"1436";"6,40%";"13,50%";"11";"0"
24;"12.00.00 - Фотоника, приборостроение, оптические и биотехнические системы и технологии";"1190";"5,30%";"27,30%";"9";"0"
24;"13.00.00 - Электро- и теплоэнергетика";"548";"2,40%";"6,50%";"14";"0"
24;"14.00.00 - Ядерная энергетика и технологии";"434";"1,90%";"15,20%";"4";"0"
24;"15.00.00 - Машиностроение";"3537";"15,70%";"34,00%";"20";"0"
24;"16.00.00 - Физико-технические науки и технологии";"726";"3,20%";"59,90%";"7";"0"
24;"17.00.00 - Оружие и системы вооружения";"594";"2,60%";"100,00%";"1";"0"
24;"18.00.00 - Химические технологии";"2";"0,00%";"0,00%";"11";"0"
24;"20.00.00 - Техносферная безопасность и природообустройство";"251";"1,10%";"7,10%";"21";"0"
24;"22.00.00 - Технологии материалов";"357";"1,60%";"12,60%";"11";"0"
24;"23.00.00 - Техника и технологии наземного транспорта";"613";"2,70%";"5,40%";"12";"0"
24;"24.00.00 - Авиационная и ракетно-космическая техника";"3769";"16,70%";"34,00%";"2";"0"
24;"27.00.00 - Управление в технических системах";"1501";"6,70%";"17,90%";"27";"0"
24;"28.00.00 - Нанотехнологии и наноматериалы";"276";"1,20%";"23,60%";"9";"0"
